,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,diff_cvap_turnout_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,combined_cvap_turnout_2016
244,MUHLENBERG//KY,0.0023398908051,11539.0,23.4358289956,1.690555,12.6,5.6,92.3823820627,35.4961656794,21177.0,21177.0,1,46.9185957382,23.4827667426,53.436458
245,FENTRESS//TN,0.00369660460022,7304.0,14.0347378019,1.935667,15.0,6.0,97.044225085,30.4836539223,47049.0,47049.0,1,67.4599917932,53.4252539913,51.611245
246,BANKS//GA,0.0042728521288,6553.0,4.52339651528,5.012509,17.3,4.3,88.372600349,32.5964176214,13011.0,13011.0,1,78.4048373164,73.8814408012,51.174879
247,APPLING//GA,0.00469759248385,6812.0,8.85773995876,-0.888646,20.7,5.8,69.6367486561,33.3852586702,13001.0,13001.0,1,57.9465943167,49.088854358,52.910262
248,ATOKA//OK,0.00513503233169,5258.0,17.412884061,2.665194,21.7,6.1,72.2421976125,40.9882205775,40005.0,40005.0,1,65.4338264694,48.0209424084,47.636887
249,MARSHALL//WV,0.00523251529221,13569.0,22.4285588795,2.435651,10.4,6.3,96.9057881773,44.0944209673,54051.0,54051.0,1,50.9898341359,28.5612752564,52.248567
250,GILES//TN,0.00566522085509,11297.0,16.1835963294,1.547846,12.6,4.0,84.828491485,39.5526809519,47055.0,47055.0,1,45.404676259,29.2210799296,49.849251
251,WAYNE//MO,0.00568494406749,5453.0,29.7678284995,1.559377,16.4,4.5,95.8348884079,38.3168831169,29223.0,29223.0,1,64.3778319972,34.6100034977,55.540514
252,CHEYENNE//NE,0.00569087184157,4393.0,12.395418608,0.614399,7.3,2.6,90.2153418676,66.9676124964,31033.0,31033.0,1,63.6463121033,51.2508934954,62.952298
253,BUTTS//GA,0.00591715976331,7774.0,8.16270998848,-1.180417,16.9,5.1,67.1187886543,32.3216617949,13035.0,13035.0,1,43.8007808378,35.6380708493,51.409256
254,DEKALB//TN,0.00592485549133,6920.0,21.154402258,2.394512,15.0,5.5,89.7310641874,34.7585054678,47041.0,47041.0,1,51.8443804035,30.6899781455,48.401871
255,MAGOFFIN//KY,0.00620496397118,4996.0,11.9493374307,3.144636,13.5,15.1,99.4991910008,31.1377917415,21153.0,21153.0,1,51.8677879914,39.9184505607,52.432507
256,CURRY//NM,0.0062217817421,18162.0,3.74917663853,-1.670796,15.6,5.2,50.0564389964,57.1165543317,35009.0,35009.0,1,42.3662770103,38.6171003717,37.385803
257,WAYNE//MS,0.00629095674967,7630.0,6.71882312919,-5.341685,15.2,6.4,58.500291772,40.1852405139,28153.0,28153.0,1,25.8443465492,19.12552342,62.287617
258,LAMAR//GA,0.00637536930493,6431.0,8.26708798169,-1.852071,17.5,6.1,64.6406094733,46.8097896093,13171.0,13171.0,1,38.495049505,30.2279615233,52.25479
259,RICE//KS,0.0064416387529,3881.0,7.80208540866,2.911043,13.7,3.5,84.3818653885,57.5222621465,20159.0,20159.0,1,55.6209700028,47.8188845941,52.667934
260,BARTON//KS,0.00689899168583,11306.0,5.29792282535,-1.811653,14.0,4.2,82.5760064236,52.227165376,20009.0,20009.0,1,58.9115781126,53.6136552873,51.401365
261,CALEDONIA//VT,0.00708065435013,12287.0,15.8824245847,2.778703,6.6,3.6,95.2276538114,53.971995009,50005.0,50005.0,0,-7.0337806571,-22.9162052418,59.022778
262,WALSH//ND,0.00730371272063,4929.0,26.5182645378,-3.960455,9.6,2.9,85.7155838255,50.1551991723,38099.0,38099.0,1,40.1716927141,13.6534281762,55.925071
263,KNOX//KY,0.00762011710917,12467.0,13.7934579025,3.763649,13.3,6.8,96.2274827879,29.5891054238,21121.0,21121.0,1,67.6943588034,53.9009009009,49.708903
