,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,turnoutcvap
0,MUHLENBERG//KY,0.0023398908051,11539.0,23.4358289956,12.6,5.6,92.3823820627,35.4961656794,21177.0,21177.0,1,46.9185957382,23.4827667426,0.51745903
1,FENTRESS//TN,0.00369660460022,7304.0,14.0347378019,15.0,6.0,97.044225085,30.4836539223,47049.0,47049.0,1,67.4599917932,53.4252539913,0.49675578
2,BANKS//GA,0.0042728521288,6553.0,4.52339651528,17.3,4.3,88.372600349,32.5964176214,13011.0,13011.0,1,78.4048373164,73.8814408012,0.4616237
3,APPLING//GA,0.00469759248385,6812.0,8.85773995876,20.7,5.8,69.6367486561,33.3852586702,13001.0,13001.0,1,57.9465943167,49.088854358,0.53798908
4,ATOKA//OK,0.00513503233169,5258.0,17.412884061,21.7,6.1,72.2421976125,40.9882205775,40005.0,40005.0,1,65.4338264694,48.0209424084,0.44971693
5,MARSHALL//WV,0.00523251529221,13569.0,22.4285588795,10.4,6.3,96.9057881773,44.0944209673,54051.0,54051.0,1,50.9898341359,28.5612752564,0.49812916
6,GILES//TN,0.00566522085509,11297.0,16.1835963294,12.6,4.0,84.828491485,39.5526809519,47055.0,47055.0,1,45.404676259,29.2210799296,0.48301405
7,WAYNE//MO,0.00568494406749,5453.0,29.7678284995,16.4,4.5,95.8348884079,38.3168831169,29223.0,29223.0,1,64.3778319972,34.6100034977,0.53981137
8,CHEYENNE//NE,0.00569087184157,4393.0,12.395418608,7.3,2.6,90.2153418676,66.9676124964,31033.0,31033.0,1,63.6463121033,51.2508934954,0.62337899
9,BUTTS//GA,0.00591715976331,7774.0,8.16270998848,16.9,5.1,67.1187886543,32.3216617949,13035.0,13035.0,1,43.8007808378,35.6380708493,0.52589673
10,DEKALB//TN,0.00592485549133,6920.0,21.154402258,15.0,5.5,89.7310641874,34.7585054678,47041.0,47041.0,1,51.8443804035,30.6899781455,0.46007359
11,MAGOFFIN//KY,0.00620496397118,4996.0,11.9493374307,13.5,15.1,99.4991910008,31.1377917415,21153.0,21153.0,1,51.8677879914,39.9184505607,0.49287871
